200 0.362793s 63125B  /
200 0.132822s 99892B  /account
200 0.038806s 3663B  /actions/recent
200 0.020152s 181B  /api/notify-state
200 0.243859s 35501B  /archive
200 0.394458s 187134B  /clients
200 0.068590s 83534B  /diag/perf
200 0.012152s 11687B  /diag/perf.txt
200 0.094749s 26350B  /feedback/inbox
200 0.084364s 25864B  /furnaces
200 0.011070s 1034B  /furnaces/cards
200 0.010390s 1696B  /furnaces/side
200 0.162129s 201120B  /handout
200 0.073872s 172061B  /handout/cards
204 0.024705s 0B  /handout/pulse
200 0.036672s 34B  /health
200 0.089292s 47915B  /journal
200 0.088426s 192479B  /journal/sync
200 0.068131s 18796B  /license
200 0.106965s 26626B  /machines
200 0.020956s 127B  /machines/calibration/banner
200 0.018033s 2053B  /machines/cards
200 0.010808s 1250B  /machines/side
200 0.011744s 231B  /machines/sisma
200 0.012227s 827B  /machines/strip
200 0.279944s 58912B  /mail
303 0.008008s 0B  /orders/new
200 0.014493s 2255B  /palette/commands
200 0.009150s 12B  /palette/search?q=a
200 0.507135s 389449B  /search?q=1
200 0.526058s 449921B  /settings
200 0.075554s 36684B  /settings/feedback
200 0.130591s 71092B  /settings/materials
400 0.001795s 30B  /settings/materials/probe?text=ομμΰ
200 0.018117s 16B  /settings/update/status
303 0.008169s 0B  /setup
200 0.010620s 3B  /sheets/mass-vanish
200 0.022709s 387B  /sheets/state
200 0.117632s 30636B  /shift
200 0.009339s 311B  /shift/card
200 0.482874s 30413B  /stats
200 0.008376s 129B  /sum3d/tray
200 0.009984s 738B  /system/load
200 0.069690s 25438B  /vyrobitok
200 0.007598s 129B  /archive/day?d=2026-09-01
200 0.269229s 88788B  /archive/search?q=1
200 0.358833s 63194B  /?tab=yesterday
200 0.375748s 63125B  /?tab=tomorrow
200 0.439801s 63125B  /?tab=earlier
200 0.383764s 63147B  /?mine=1
200 0.319482s 63125B  /?add=1
